id,naslov,število epizod,status,sezona premiere,leto premiere,dolzina epizode v minutah,oznaka,ocena,člani,favoritizacije,demografika,teme,žanri,studii,povezani vnosi,glavni liki
6746,Durarara!!,24,Finished Airing,Winter,2010,24,R - 17+ (violence &amp; profanity),8.1,1416511,30115,NG,[],"['Action', 'Mystery', 'Supernatural']","[('112', 'Brain&#039;s Base')]","[('23199', 'Durarara!!x2 Shou')]","[('24596', 'Orihara, Izaya', 'Main'), ('24595', 'Heiwajima, Shizuo', 'Main'), ('28331', 'Sturluson, Celty', 'Main'), ('24593', 'Kida, Masaomi', 'Main'), ('24592', 'Ryuugamine, Mikado', 'Main'), ('24594', 'Sonohara, Anri', 'Main'), ('3662', 'Dian, Isaac', 'Supporting'), ('3796', 'Harvent, Miria', 'Supporting'), ('24597', 'Kishitani, Shinra', 'Supporting'), ('27889', 'Brezhnev, Semyon', 'Supporting')]"
6347,Baka to Test to Shoukanjuu,13,Finished Airing,Winter,2010,24,PG-13 - Teens 13 or older,7.51,640143,5687,NG,"['Love Polygon', 'School']","['Comedy', 'Romance']","[('300', 'SILVER LINK.')]",[],"[('20181', 'Kinoshita, Hideyoshi', 'Main'), ('27362', 'Yoshii, Akihisa', 'Main'), ('29404', 'Tsuchiya, Kouta', 'Main'), ('29563', 'Shimada, Minami', 'Main'), ('29560', 'Kirishima, Shouko', 'Main'), ('27363', 'Himeji, Mizuki', 'Main'), ('29607', 'Sakamoto, Yuuji', 'Main'), ('29562', 'Kinoshita, Yuuko', 'Supporting'), ('29561', 'Kudou, Aiko', 'Supporting'), ('30810', 'Yoshii, Akira', 'Supporting')]"
6594,Katanagatari,12,Finished Airing,Winter,2010,49,R - 17+ (violence &amp; profanity),8.3,566118,10812,NG,"['Historical', 'Martial Arts']","['Action', 'Adventure', 'Romance']","[('314', 'White Fox')]",[],"[('28522', 'Yasuri, Shichika', 'Main'), ('28523', 'Togame', 'Main'), ('28556', 'Yasuri, Nanami', 'Supporting'), ('33208', 'Hitei', 'Supporting'), ('34924', 'Souda, Emonzaemon', 'Supporting'), ('37466', 'Higaki, Rinne', 'Supporting'), ('30956', 'Tsuruga, Meisai', 'Supporting'), ('34929', 'Maniwa, Pengin', 'Supporting'), ('33207', 'Maniwa, Houou', 'Supporting'), ('34045', 'Itezora, Konayuki', 'Supporting')]"
6500,Seikon no Qwaser,24,Finished Airing,Winter,2010,24,R+ - Mild Nudity,6.33,332875,845,Seinen,"['Gore', 'Harem', 'School', 'Super Power']","['Action', 'Supernatural', 'Ecchi']","[('346', 'Hoods Entertainment')]","[('10073', 'Seikon no Qwaser II')]","[('21506', 'Hell, Alexander Nikolaevich', 'Main'), ('29541', 'Kurae, Ekaterina', 'Main'), ('21339', 'Oribe, Mafuyu', 'Main'), ('21340', 'Yamanobe, Tomo', 'Main'), ('29540', 'Katsuragi, Hana', 'Main'), ('21341', 'Beria, Teresa', 'Main'), ('31881', 'Oikawa, Urara', 'Supporting'), ('31317', 'Mitarai, Fumika', 'Supporting'), ('29542', 'Elizabeth', 'Supporting'), ('29539', 'Tsujidou, Miyuri', 'Supporting')]"
6324,Omamori Himari,12,Finished Airing,Winter,2010,24,R+ - Mild Nudity,6.83,243588,762,Shounen,"['Harem', 'Mythology', 'School']","['Action', 'Comedy', 'Romance', 'Supernatural', 'Ecchi']","[('218', 'Zexcs')]",[],"[('13930', 'Noihara, Himari', 'Main'), ('19367', 'Shizuku', 'Main'), ('19369', 'Jinguuji, Kuesu', 'Main'), ('19368', 'Chelsie, Lizlet L', 'Main'), ('16010', 'Amakawa, Yuuto', 'Main'), ('19366', 'Kuzaki, Rinko', 'Main'), ('31894', 'Sasa', 'Supporting'), ('31646', 'Tamamo no Mae', 'Supporting'), ('30197', 'Shama, Ageha', 'Supporting'), ('30195', 'Kisaragi, Sae', 'Supporting')]"
6747,Dance in the Vampire Bund,12,Finished Airing,Winter,2010,23,R+ - Mild Nudity,6.97,232161,721,Seinen,['Vampire'],"['Action', 'Drama', 'Romance', 'Supernatural']","[('44', 'Shaft')]",[],"[('18547', 'Tepes, Mina', 'Main'), ('23890', 'Kaburagi Regendorf, Akira', 'Main'), ('29550', 'Saegusa, Yuki', 'Main'), ('29773', 'Meiren', 'Supporting'), ('29768', 'Shinonome, Nanami', 'Supporting'), ('30594', 'Medici Borgiani, Alphonse', 'Supporting'), ('29775', 'Vera', 'Supporting'), ('29771', 'Nero', 'Supporting'), ('30011', 'Regendorf, Wolfgang', 'Supporting'), ('30540', 'Sister Laura', 'Supporting')]"
7148,Ladies versus Butlers!,12,Finished Airing,Winter,2010,24,R+ - Mild Nudity,6.54,223083,292,NG,"['Harem', 'School']","['Comedy', 'Romance', 'Ecchi']","[('27', 'Xebec')]",[],"[('28640', 'Flameheart, Selnia Iori', 'Main'), ('28638', 'Hino, Akiharu', 'Main'), ('28639', 'Saikyou, Tomomi', 'Main'), ('28642', 'Daichi, Kaoru', 'Supporting'), ('28641', 'Shikikagami, Sanae', 'Supporting'), ('29248', 'Tenjouji, Kaede', 'Supporting'), ('29893', 'Khadim, Ayse', 'Supporting'), ('29894', 'Hedyeh', 'Supporting'), ('28644', 'Ousawa, Mimina', 'Supporting'), ('29734', 'Kazamatsuri, Toichiro', 'Supporting')]"
6802,So Ra No Wo To,12,Finished Airing,Winter,2010,24,PG-13 - Teens 13 or older,7.53,164335,1494,NG,"['CGDCT', 'Iyashikei', 'Military', 'Music']","['Sci-Fi', 'Slice of Life']","[('56', 'A-1 Pictures')]",[],"[('24493', 'Kannagi, Noël', 'Main'), ('24488', 'Sorami, Kanata', 'Main'), ('24490', 'Kazumiya, Rio', 'Main'), ('24494', 'Heideman, Filicia', 'Main'), ('24492', 'Suminoya, Kureha', 'Main'), ('27357', 'Yumina', 'Supporting'), ('27358', 'Krauss', 'Supporting'), ('31782', 'Carl', 'Supporting'), ('31107', 'Aldola, Aisha', 'Supporting'), ('33334', 'Hopkins', 'Supporting')]"
5690,Nodame Cantabile Finale,11,Finished Airing,Winter,2010,22,PG-13 - Teens 13 or older,8.23,128898,410,Josei,"['Adult Cast', 'Music']","['Comedy', 'Romance']","[('7', 'J.C.Staff')]",[],"[('1185', 'Noda, Megumi', 'Main'), ('1184', 'Chiaki, Shinichi', 'Main'), ('7356', 'von Stresemann, Franz', 'Supporting'), ('4998', 'Kuroki, Yasunori', 'Supporting'), ('1187', 'Mine, Ryuutarou', 'Supporting'), ('1188', 'Okuyama, Masumi', 'Supporting'), ('4224', 'Miki, Kiyora', 'Supporting'), ('17225', 'Son, Rui', 'Supporting'), ('29638', 'Auclair, Charles', 'Supporting'), ('16659', 'Vishneva, Tatiana', 'Supporting')]"
6574,Hanamaru Youchien,12,Finished Airing,Winter,2010,24,PG-13 - Teens 13 or older,7.26,95451,242,Seinen,['Childcare'],"['Comedy', 'Slice of Life']","[('6', 'Gainax')]",[],"[('13996', 'Hiiragi', 'Main'), ('13995', 'Anzu', 'Main'), ('13998', 'Koume', 'Main'), ('29511', 'Yamamoto, Nanako', 'Main'), ('29476', 'Tsuchida, Naozumi', 'Main'), ('30328', 'Tsuchida, Satsuki', 'Supporting'), ('30913', 'Hinagiku', 'Supporting'), ('29890', 'Sakura', 'Supporting'), ('29889', 'Kusano, Rouze', 'Supporting'), ('30916', 'Aoi', 'Supporting')]"
