id_fransize,id_anime
2225,2225
3579,3579
3579,4486
6383,6383
3388,3388
2836,2836
8139,8139
8139,3858
3834,3834
11857,11857
11213,11213
10887,10887
23347,23347
20233,20233
9522,9520
9522,9522
1650,1651
1650,1650
5658,2253
5658,5658
2827,2827
2827,7004
2823,2823
2823,19959
4808,4808
6397,6397
8763,8763
6701,6701
4598,4598
2553,2553
10282,10282
10282,6277
23349,23349
2571,2571
2571,8373
5267,5267
4486,3579
4486,4486
2128,2128
3054,3054
2575,2575
2575,23393
20223,20223
1458,1458
11421,11421
1985,1985
2825,2825
4198,2157
4198,4198
3915,3915
4935,4935
11268,11268
11268,6468
5104,5104
3822,3822
8240,8240
1663,1663
2545,2545
6277,10282
6277,6277
1068,1068
956,956
2567,2567
3361,3361
3361,10815
7551,7551
10562,10562
23351,23351
23393,2575
23393,23393
5829,5829
5131,5131
39119,39119
2800,2800
6262,6262
3932,3932
3825,3825
4013,4013
9978,9978
3823,3823
10815,3361
10815,10815
8213,8213
20239,20239
20147,20147
3008,3008
2576,2576
6087,6087
4339,4339
1986,1986
8375,8375
3294,3294
9781,9781
19959,2823
19959,19959
1069,1069
4514,4514
6970,6970
1425,1412
1425,1426
1425,1425
2828,2828
2200,2200
3196,3196
3800,3800
3827,3827
4073,4073
5287,5287
15875,5834
15875,15875
15875,16486
9881,9881
20125,20125
2809,2809
20115,20115
9856,9856
20183,20183
2549,2549
10554,10554
3435,3435
302,2613
302,302
1000,1000
2816,2816
1236,1236
3881,3881
19947,19947
10135,10136
10135,10135
3335,3335
3305,3305
3811,3811
10224,10224
1491,1377
1491,1491
2618,2618
1651,1651
1651,1650
2561,2561
8542,8542
6374,2389
6374,6375
6374,6374
17423,17423
20231,20231
283,5494
283,283
2230,2230
6889,6889
8777,8777
20027,20027
80,80
80,85
2471,501
2471,8687
2471,2471
4690,4690
3444,3444
4411,4411
4515,4515
3879,3879
5935,5935
16486,15875
16486,16486
5886,5886
32630,32630
6012,6012
10965,10965
338,338
6375,6375
6375,6374
5763,5763
5091,5091
4199,4199
4199,4614
3877,3877
5022,5022
6261,6261
2577,2577
2151,2151
3878,3878
4536,4536
3810,3810
8553,8553
3876,3876
32448,32448
17623,17623
930,930
3137,3137
4933,4933
4183,4183
4614,4199
4614,4614
7808,7808
20199,20199
3213,3213
1737,1737
9906,9906
2921,2402
2921,2921
3044,33371
3044,3044
1652,1652
4208,4208
4208,2686
3130,3130
5833,5833
4511,4511
16530,16530
33300,33300
2544,2544
4154,4154
4574,4574
2222,2222
1448,1448
5832,3009
5832,5832
5832,32881
2799,2799
1548,1548
3836,3836
2912,2912
3835,3835
4132,4132
7106,7106
6727,6727
5594,5594
2510,2510
1293,1293
4936,4936
2257,2257
2331,2331
2748,2748
3391,3391
3761,3761
3399,3399
4240,4242
4240,4240
2882,2882
2882,3936
3947,3947
3873,3873
11829,11829
21487,5618
21487,21487
2254,2254
2573,2573
8011,8011
6629,6629
23973,23973
1279,1279
518,518
2835,2835
3136,3136
4853,4853
3609,3609
3880,3880
3969,3969
3075,3075
12243,12243
8239,8239
3159,3159
4242,4242
4242,4244
4242,4240
6730,6730
1088,1088
2451,2451
3125,3125
2203,2203
8373,2571
8373,8373
3806,3806
8285,8285
7956,7956
21491,21491
21549,21549
929,929
2546,2546
2933,2933
6452,6452
9905,9905
9905,3768
2582,2582
3272,3272
3272,3281
3332,3332
2542,2542
2221,2221
2231,2231
11595,6303
11595,11595
3619,3619
2612,2612
5891,5891
4244,4242
4244,4244
5344,5344
3936,2882
3936,3936
3436,3436
11245,11245
17687,17687
8179,8179
2043,2043
2044,2044
2089,2089
1873,1873
6428,6428
3201,3201
2116,2116
2762,2762
3670,3670
2987,2987
2572,2572
5143,5143
2568,2568
2578,2578
3180,3180
2598,2598
2579,2579
3162,3162
3021,3021
6636,6636
8799,8799
5600,5600
34510,34510
17619,17619
1426,27947
1426,1426
1426,1425
506,506
4503,4503
3081,3081
3081,11919
3327,3327
3754,3754
5250,5250
6672,6672
3020,3020
3723,3723
16303,16303
16526,16526
10136,10137
10136,10136
10136,10135
28089,28089
2039,2039
1333,1333
967,967
967,1356
967,37388
1972,1972
2361,2361
5153,5153
7160,7160
2769,2769
3808,3808
8853,8853
3131,3131
8130,8130
2226,2226
20077,20077
2547,2547
85,86
85,80
85,85
1065,1065
1065,1540
2255,2255
3807,3807
4062,4062
3022,3022
3434,3434
2805,2805
7981,7980
7981,7981
16650,16650
16650,17315
424,424
2038,2038
17599,17599
3079,3079
3059,3059
714,714
7307,7307
17211,17211
3812,3812
223,223
223,6033
223,813
2554,2554
2223,5203
2223,2223
3317,3317
5223,5223
1453,1453
86,86
86,85
589,915
589,589
2224,2224
3660,3660
4723,32897
4723,4723
4083,4083
3433,3433
6731,6731
10137,10137
10137,10136
10137,37714
30129,30129
3676,3676
1254,1254
3053,3053
2826,2826
3460,3460
27693,27693
6093,6093
7575,7575
10210,10210
6771,6771
20083,20083
865,865
5203,5203
5203,2223
1087,1087
2688,2688
729,729
3023,3023
10250,10250
2815,2815
20117,20117
26087,26087
925,925
925,924
16131,3676
16131,16131
28019,28019
48165,48165
2227,2227
2227,2405
2333,2333
4060,4061
4060,4060
3437,3437
3205,3259
3205,3205
4024,4024
13769,13769
6746,23199
6746,6746
6347,6347
6594,6594
6500,10073
6500,6500
6324,6324
6747,6747
7148,7148
6802,6802
5690,5690
6574,6574
7079,7079
6645,6645
7645,7645
7062,7062
7463,6425
7463,7463
5032,5032
7561,7561
7761,4056
7761,7761
8025,8025
8025,11733
35138,35138
7211,7211
33085,6658
33085,33085
8244,8244
29748,29748
37942,37942
37942,37944
35108,35108
35108,35107
45453,45453
45453,45454
45453,45451
47083,47083
59359,59359
59359,59358
6547,6547
7054,7054
7791,5680
7791,7791
7593,7593
7088,7088
7785,7785
6956,6956
6956,10521
6114,6114
7817,7817
7647,7647
7647,9074
6895,13115
6895,9065
6895,6895
7590,7590
7058,7058
7588,7588
7661,7661
5337,5337
5337,7334
5337,2156
7655,7655
7655,5028
8410,5962
8410,8410
8410,10370
7580,7580
7580,4196
6973,6973
7720,2159
7720,7720
4334,4334
8057,6112
8057,8057
8217,6008
8217,8217
8206,8206
8287,8287
8538,6117
8538,8538
6902,6902
7793,1771
7793,10346
7793,7793
10528,10527
10528,10524
10528,10528
8409,8409
8409,6130
8336,8336
31246,31246
31246,7395
8353,8353
13179,13179
8478,8478
18939,18937
18939,18941
18939,18939
10855,10856
10855,4331
10855,10855
24041,24041
48221,55078
48221,48221
45848,45848
46258,46258
8074,8074
7724,7724
6707,4898
6707,6707
8675,8675
8676,8676
8676,11235
8086,8086
7769,7769
7592,10049
7592,7592
5277,4063
5277,5277
6166,6166
7627,7627
7627,9510
6974,6974
6381,6381
6381,32866
6634,6634
6634,5355
8624,8624
8624,10444
6979,6979
10869,10869
8961,8961
8961,10324
8964,8964
8964,25891
8964,6899
36993,47612
36993,36993
9013,9013
9013,6604
8960,10802
8960,8960
9345,9345
38070,38070
38070,38071
38070,53021
45540,45540
46706,46706
45517,45517
45517,45519
48156,48156
