id,zanr
3579,Action
3579,Sci-Fi
6383,Action
6383,Adventure
6383,Sci-Fi
2836,Adventure
2836,Comedy
8139,Adventure
8139,Comedy
8139,Drama
3834,Adventure
3834,Sci-Fi
11857,Sports
11213,Sci-Fi
10887,Comedy
10887,Slice of Life
23347,Comedy
1650,Action
1650,Adventure
1650,Award Winning
1650,Drama
1650,Sci-Fi
5658,Action
5658,Sci-Fi
2827,Comedy
2823,Comedy
2823,Fantasy
4808,Action
4808,Adventure
4808,Sci-Fi
6397,Adventure
6397,Slice of Life
8763,Comedy
6701,Adventure
6701,Fantasy
2553,Drama
2553,Slice of Life
2571,Adventure
2571,Comedy
5267,Adventure
5267,Suspense
4486,Action
4486,Sci-Fi
2128,Action
2128,Adventure
2128,Sci-Fi
3054,Action
3054,Adventure
3054,Drama
2575,Adventure
2575,Slice of Life
1458,Action
1458,Adventure
1458,Sci-Fi
1985,Action
1985,Sci-Fi
2825,Adventure
2825,Fantasy
2825,Romance
4198,Action
4198,Fantasy
4198,Sci-Fi
3915,Adventure
3915,Comedy
4935,Comedy
11268,Comedy
11268,Slice of Life
5104,Adventure
3822,Adventure
1663,Adventure
1663,Drama
1663,Slice of Life
2545,Adventure
2545,Drama
1068,Adventure
1068,Sci-Fi
956,Action
956,Adventure
956,Sci-Fi
2567,Adventure
3361,Action
3361,Sci-Fi
7551,Action
7551,Adventure
7551,Sci-Fi
10562,Action
23351,Adventure
23351,Horror
23351,Supernatural
5829,Action
5829,Sci-Fi
5131,Sci-Fi
2800,Drama
2800,Romance
6262,Adventure
6262,Drama
6262,Fantasy
3932,Action
3932,Sci-Fi
3825,Sports
4013,Action
4013,Adventure
9978,Action
9978,Sci-Fi
3823,Comedy
3823,Slice of Life
10815,Action
10815,Sci-Fi
8213,Comedy
20239,Comedy
20239,Slice of Life
3008,Action
3008,Adventure
3008,Comedy
2576,Drama
2576,Slice of Life
4339,Drama
4339,Sports
1986,Sci-Fi
8375,Action
8375,Adventure
8375,Sci-Fi
3294,Mystery
3294,Sci-Fi
9781,Action
9781,Sci-Fi
1069,Action
1069,Adventure
1069,Drama
1069,Sci-Fi
4514,Adventure
4514,Drama
1425,Action
1425,Adventure
1425,Comedy
1425,Mystery
2828,Adventure
2828,Drama
2200,Action
2200,Drama
2200,Sci-Fi
3196,Drama
3196,Slice of Life
3800,Drama
3827,Sports
4073,Action
5287,Adventure
5287,Comedy
5287,Sports
15875,Sports
9881,Action
9881,Sci-Fi
20125,Comedy
2809,Adventure
2809,Comedy
2549,Drama
10554,Drama
10554,Sports
302,Adventure
302,Drama
302,Sci-Fi
1000,Action
1000,Adventure
1000,Drama
1000,Sci-Fi
2816,Adventure
2816,Drama
2816,Romance
2816,Sci-Fi
1236,Action
1236,Adventure
1236,Sci-Fi
3881,Comedy
19947,Sports
3335,Drama
3335,Romance
3305,Sci-Fi
3811,Adventure
1491,Adventure
1491,Drama
1491,Sci-Fi
2618,Adventure
2618,Drama
2618,Mystery
1651,Action
1651,Adventure
1651,Drama
1651,Sci-Fi
2561,Action
2561,Adventure
2561,Sci-Fi
8542,Drama
8542,Romance
8542,Sports
6374,Action
6374,Adventure
6374,Sci-Fi
17423,Drama
17423,Slice of Life
283,Drama
2230,Adventure
2230,Drama
6889,Action
6889,Adventure
6889,Comedy
6889,Sci-Fi
8777,Adventure
8777,Drama
80,Action
80,Drama
80,Sci-Fi
2471,Adventure
2471,Comedy
2471,Fantasy
2471,Sci-Fi
4690,Action
4690,Adventure
4690,Sci-Fi
3444,Action
3444,Sci-Fi
4411,Action
4411,Sci-Fi
4515,Drama
3879,Drama
5935,Adventure
16486,Sports
5886,Adventure
5886,Fantasy
6012,Drama
338,Drama
338,Romance
6375,Action
6375,Adventure
6375,Sci-Fi
5763,Action
5763,Drama
5763,Sci-Fi
5091,Adventure
5091,Comedy
5091,Supernatural
4199,Adventure
4199,Drama
4199,Romance
3877,Adventure
5022,Action
5022,Sci-Fi
2577,Adventure
2577,Drama
2577,Slice of Life
2151,Adventure
2151,Fantasy
3878,Comedy
3878,Slice of Life
4536,Comedy
4536,Sci-Fi
3810,Adventure
3810,Comedy
3810,Fantasy
8553,Action
8553,Adventure
8553,Comedy
8553,Sci-Fi
3876,Adventure
3876,Fantasy
930,Action
930,Drama
930,Sci-Fi
3137,Adventure
3137,Sports
4933,Action
4933,Fantasy
4933,Sci-Fi
4183,Action
4614,Adventure
4614,Drama
4614,Romance
7808,Adventure
7808,Comedy
7808,Romance
3213,Comedy
3213,Sports
1737,Action
1737,Adventure
1737,Drama
1737,Sci-Fi
2921,Drama
2921,Sports
3044,Action
3044,Adventure
3044,Sci-Fi
1652,Action
