id_lika,ime,favoritizacije_lika
8827,Heidi,105
30308,Alm-Onji,34
17787,Clara Sesemann,14
8828,Peter,12
30307,Rottenmeier,2
196273,Dete,1
196361,Peter&#039;s Grandmother,0
196362,Dr. Klassen,0
196392,Church Tower Guard,0
196360,Brigitte,0
6107,Ryouma Nagare,466
8663,Hayato Jin,113
18490,Musashi Tomoe,26
17723,Professor Saotome,5
157060,Emperor Gore,1
6302,Jack King,1
39620,Bat,1
25613,Michiru Saotome,1
148159,Princess Gola,0
131736,Genki Saotome,0
42013,Ken Izumi,6
152988,Barican,2
61975,Caron Izumi,1
46797,Volga,4
61973,Hoshi,2
61977,Jural Seijin,1
152987,Saori Izumi,0
152986,Hiro Izumi,0
61981,Maou,0
12343,Non Gou,8
12342,Megu Kanzaki,3
183426,Roko,0
12348,Saturn,1
12345,Apo Kanzaki,1
12344,Mammi Kanzaki,1
12351,Furu-Furu,0
12350,Crow,0
12347,Rabi Kanzaki,0
12346,Papa Kanzaki,0
12893,Vicke,8
27959,Ylvie,0
168561,Harvard,1
179813,Gorm,0
107135,Snorre,0
107133,Narrator,0
107117,Urobe,0
123893,Hutch,3
172106,Usa-tan,0
150542,Damesuke Amano,1
150543,Takobou Amano,0
90575,Tamageta,0
90579,Kitsune,0
90577,Helmekko,0
142287,Shin Fubuki,0
142291,Lisa,0
142290,Tsutomu Kenmotsu,0
142289,Hiroshi,0
142288,Dr. Tachibana,0
39799,Narrator,0
6770,Juuzou Okita (Uchuu Senkan Yamato,283
6769,Susumu Kodai (Uchuu Senkan Yamato,99
42782,Aberdt Desler (Uchuu Senkan Yamato,73
42714,Yuki Mori (Uchuu Senkan Yamato,52
42964,Shirou Sanada (Uchuu Senkan Yamato,23
42711,Daisuke Shima (Uchuu Senkan Yamato,3
87481,Elk Domel (Uchuu Senkan Yamato,10
44931,Analyzer (Uchuu Senkan Yamato,8
59147,Mamoru Kodai (Uchuu Senkan Yamato,4
42961,Sakezou Sado (Uchuu Senkan Yamato,4
24943,Tetsuya Tsurugi,13
83677,Jun Honoo,2
7372,Kouji Kabuto,186
14500,Boss,26
20201,Sayaka Yumi,12
25244,Archduke Gorgon,1
5734,Shiro Kabuto,1
25242,Kenzo Kabuto,0
165778,Marquis Janus,0
23257,Mucha,0
47185,Calimero,3
47187,Priscilla,1
155577,Professor Owl,0
74880,Peter Jobatta,0
3405,Barbapapa,10
3408,Barbabelle,0
3407,Barbamama,0
102493,Narrator,0
3406,Barbazoo,0
57171,Takeshi Yoroi,6
57169,Joe Kuruma,1
57167,Teru Nanba,1
85095,Narrator,0
21446,Mizuo Isshuu,2
21450,Tsuchimaru Isshuu,0
21449,Kintaro Isshuu,0
21447,Kaji Isshuu,0
21445,Tsukimi Isshuu,0
21448,Mokusuke Isshuu,0
21451,Yoichi,2
21452,Soroku,0
143834,Gon,0
143838,Grim Reaper,1
143837,Piko-chan,0
143836,Father,0
143835,Mother,0
143833,Dotechin,0
23386,Jim Button,0
121961,Pokko,1
121963,Captain Kid,0
134144,Donny Dear,1
134141,Pete Penguin,1
134140,Scooter Squirrel,0
134143,Harry Hog,0
134142,Barney Bear,0
134139,Seitarou Rabbit,0
139152,Narrator,0
134145,Petula Pigeon,0
19688,Patrasche,11
30244,Nello Daas,7
39165,Alois Cogez,2
39164,Jehan Daas,1
170882,Baas Cogez,0
107121,Narrator,0
154293,Neko-yaku,0
12540,Maya,25
20192,Willi,12
16411,Phillip,8
