id,naslov,število epizod,sezona premiere,leto premiere,vir,dolzina epizode v minutah,ocena,člani,demografika,teme,žanri,studii
3579,Getter Robo,51,spring,1974,Manga,25,6.7,8804,Shounen,['Mecha'],"['Action', 'Sci-Fi']",['Toei Animation']
6383,Chargeman Ken!,65,spring,1974,Original,6,4.56,4518,NG,[],"['Action', 'Adventure', 'Sci-Fi']",['Knack Productions']
3388,Majokko Megu-chan,72,spring,1974,Original,25,6.67,4010,NG,['Mahou Shoujo'],[],['Toei Animation']
2836,Chiisana Viking Vickie,78,spring,1974,Novel,24,6.67,3948,Kids,['Historical'],"['Adventure', 'Comedy']",['Nippon Animation']
8139,Shin Minashigo Hutch,26,spring,1974,,24,6.27,1542,NG,[],"['Adventure', 'Comedy', 'Drama']",['Tatsunoko Production']
3834,Hoshi no Ko Chobin,26,spring,1974,Original,23,6.08,1207,NG,[],"['Adventure', 'Sci-Fi']",['Studio Zero']
11857,Judo Sanka,27,spring,1974,,24,6.32,1030,Shounen,['Combat Sports'],['Sports'],[]
11213,Hoshi no Ko Poron,260,spring,1974,,5,6.06,683,NG,[],['Sci-Fi'],[]
10887,Dame Oyaji,26,spring,1974,Manga,25,N/A,527,NG,[],"['Comedy', 'Slice of Life']",['Knack Productions']
23347,Gan to Gon,260,spring,1974,,5,N/A,527,Kids,[],['Comedy'],[]
1650,Uchuu Senkan Yamato,26,fall,1974,Original,25,7.54,29772,NG,"['Adult Cast', 'Military', 'Space']","['Action', 'Adventure', 'Award Winning', 'Drama', 'Sci-Fi']",['Group TAC']
5658,Great Mazinger,56,fall,1974,Manga,25,7.04,6621,Shounen,['Mecha'],"['Action', 'Sci-Fi']",['Toei Animation']
2827,Calimero,45,fall,1974,Other,25,6.24,4258,NG,[],['Comedy'],['Toei Animation']
2823,Barbapapa,45,fall,1974,Picture book,5,6.25,2980,NG,[],"['Comedy', 'Fantasy']",['Topcraft']
4808,Hurricane Polymar,26,fall,1974,Original,25,6.48,2845,NG,"['Detective', 'Super Power']","['Action', 'Adventure', 'Sci-Fi']",['Tatsunoko Production']
6397,Tentoumushi no Uta,104,fall,1974,Manga,25,6.19,1288,NG,[],"['Adventure', 'Slice of Life']",['Tatsunoko Production']
8763,Hajime Ningen Gyatoruz,77,fall,1974,Manga,24,6.06,1283,NG,['Historical'],['Comedy'],['Tokyo Movie Shinsha']
6701,Jim Button,26,fall,1974,Book,23,6.13,610,Kids,[],"['Adventure', 'Fantasy']",['Eiken']
2553,Flanders no Inu,52,winter,1975,Novel,26,7.36,8355,NG,"['Historical', 'Pets', 'Visual Arts']","['Drama', 'Slice of Life']",['Nippon Animation']
10282,Manga Nippon Mukashibanashi,12,winter,1975,,25,6.01,1120,NG,['Historical'],[],[]
2571,Mitsubachi Maya no Bouken,52,spring,1975,Book,25,6.54,10615,Kids,[],"['Adventure', 'Comedy']",['Nippon Animation']
5267,Gamba no Bouken,26,spring,1975,Novel,24,7.17,5047,Kids,['Anthropomorphic'],"['Adventure', 'Suspense']",['Tokyo Movie Shinsha']
